Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-2_echo-4_T2w,0.9593122005462646,0.9218059182167053,23,1,0,23,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-2_echo-5_T2w,0.9539342522621155,0.9119256734848022,23,1,0,23,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-2_echo-6_T2w,0.9438682198524475,0.893703043460846,29,5,3,23,0.13043478260869565
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_echo-1_T2w,0.9369149208068848,0.8813169598579407,29,3,4,22,0.18181818181818182
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_echo-2_T2w,0.9181224703788757,0.848638117313385,36,9,5,22,0.22727272727272727
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_echo-3_T2w,0.903063952922821,0.8232603073120117,32,6,5,21,0.23809523809523808
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_echo-4_T2w,0.9010694622993469,0.8199512362480164,25,4,3,19,0.15789473684210525
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_echo-5_T2w,0.9037986397743225,0.8244823217391968,41,13,4,20,0.2
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_echo-6_T2w,0.9113341569900513,0.8371109962463379,25,4,3,20,0.15
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_echo-1_T2w,0.9756479859352112,0.9524537920951843,24,3,1,22,0.045454545454545456
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_echo-2_T2w,0.9757167100906372,0.9525848031044006,24,3,1,22,0.045454545454545456
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_echo-3_T2w,0.9757274985313416,0.9526053667068481,24,3,1,22,0.045454545454545456
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_echo-4_T2w,0.9751529693603516,0.9515107870101929,24,3,1,22,0.045454545454545456
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_echo-5_T2w,0.9741962552070618,0.9496906399726868,24,3,1,22,0.045454545454545456
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_echo-6_T2w,0.9729644656181335,0.9473523497581482,24,3,1,22,0.045454545454545456
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-5_echo-1_T2w,0.965549111366272,0.9333929419517517,22,1,0,22,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-5_echo-2_T2w,0.9643094539642334,0.9310787320137024,22,1,0,22,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-5_echo-3_T2w,0.9634233713150024,0.929427981376648,22,2,1,21,0.047619047619047616
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-5_echo-4_T2w,0.9606617093086243,0.9243013262748718,23,3,1,21,0.047619047619047616
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-5_echo-5_T2w,0.9456241726875305,0.8968568444252014,28,7,2,21,0.09523809523809523
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-5_echo-6_T2w,0.9104601144790649,0.8356372117996216,28,4,5,21,0.23809523809523808
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-7_echo-5_T2w,0.961301326751709,0.9254862666130066,11,2,1,10,0.1
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-7_echo-6_T2w,0.9625785946846008,0.9278569221496582,10,1,0,10,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-8_echo-1_T2w,0.9636099934577942,0.9297754764556885,23,1,0,23,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-8_echo-2_T2w,0.9616063237190247,0.9260517954826355,24,2,1,23,0.043478260869565216
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-8_echo-3_T2w,0.9604161381721497,0.9238467216491699,23,1,0,23,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-8_echo-4_T2w,0.9569185972213745,0.9173958897590637,25,3,1,23,0.043478260869565216
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-8_echo-5_T2w,0.9528088569641113,0.909870982170105,23,1,0,23,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-8_echo-6_T2w,0.9469243288040161,0.8991987705230713,23,1,0,23,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-9_echo-5_T2w,0.9443328976631165,0.8945366144180298,11,2,1,10,0.1
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-9_echo-6_T2w,0.9454132318496704,0.8964774012565613,12,3,1,10,0.1
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-1_echo-1_T2w,0.9635899066925049,0.9297380447387695,24,2,1,23,0.043478260869565216
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-1_echo-2_T2w,0.9567582011222839,0.9171010851860046,24,2,1,23,0.043478260869565216
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-1_echo-3_T2w,0.9457147121429443,0.8970197439193726,29,3,4,24,0.16666666666666666
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-1_echo-4_T2w,0.9153319597244263,0.8438820838928223,41,4,10,22,0.45454545454545453
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-1_echo-5_T2w,0.5897083282470703,0.41814637184143066,36,6,7,15,0.4666666666666667
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-1_echo-6_T2w,0.15196958184242249,0.08223326504230499,20,7,4,5,0.8
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-2_echo-1_T2w,0.0,0.0,2,1,0,2,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-2_echo-2_T2w,0.0,0.0,1,1,0,1,0.0
