Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv210_ses-01_acq-haste_run-4_T2w,0.9759910702705383,0.9531079530715942,24,3,2,21,0.09523809523809523
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv210_ses-01_acq-haste_run-5_T2w,0.9774020314216614,0.9558027982711792,26,1,0,26,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv210_ses-01_acq-haste_run-6_T2w,0.9737513661384583,0.9488454461097717,30,1,0,30,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-10_T2w,0.5832532048225403,0.41168487071990967,35,6,8,19,0.42105263157894735
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-11_T2w,0.8924171328544617,0.8057339787483215,12,1,0,12,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-12_T2w,0.9498381018638611,0.904468297958374,24,3,2,21,0.09523809523809523
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-13_T2w,0.9652133584022522,0.932765543460846,28,1,0,28,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-14_T2w,0.8919100761413574,0.8049076199531555,49,10,8,25,0.32
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-15_T2w,0.6710967421531677,0.5050004720687866,93,11,20,24,0.8333333333333334
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-1_T2w,0.6130764484405518,0.4420405924320221,28,4,2,23,0.08695652173913043
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-2_T2w,0.9700297117233276,0.9418035745620728,20,1,0,20,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-3_T2w,0.6980856657028198,0.5361993908882141,23,10,2,12,0.16666666666666666
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-4_T2w,0.7588125467300415,0.6113601326942444,34,10,4,16,0.25
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-5_T2w,0.4979395270347595,0.33150431513786316,22,5,5,10,0.5
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-6_T2w,0.7680116891860962,0.6233920454978943,30,4,6,19,0.3157894736842105
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-7_T2w,0.7994210124015808,0.6658629179000854,69,15,13,28,0.4642857142857143
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-8_T2w,0.9728383421897888,0.9471131563186646,21,1,0,21,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv211_ses-01_acq-haste_run-9_T2w,0.9760317206382751,0.9531854391098022,22,1,0,22,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-10_T2w,0.8472990393638611,0.7350553870201111,32,10,6,15,0.4
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-11_T2w,0.9497736692428589,0.9043513536453247,21,3,1,19,0.05263157894736842
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-12_T2w,0.9488663077354431,0.9027075171470642,23,2,4,19,0.21052631578947367
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-13_T2w,0.9744771718978882,0.950224757194519,18,1,0,18,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-14_T2w,0.9721436500549316,0.9457972049713135,22,1,0,22,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-15_T2w,0.8475959300994873,0.7355023622512817,53,16,8,19,0.42105263157894735
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-16_T2w,0.9560776352882385,0.9158512949943542,24,5,1,20,0.05
