dataset,n,mean_48,std_48,mean_70,std_70,mean_diff,ci95_lo,ci95_hi,t_paired,p_paired,cohen_dz,t_welch,p_welch,wilcoxon_W,p_wilcoxon,n_better_48,n_better_70
High-field,48,0.9139139031370481,0.03681071690450539,0.9137313440442085,0.04325560070362804,0.00018255909283956817,-0.006606471486749309,0.006971589672428446,0.054096313002224394,0.957087724485297,0.007808130218500127,0.02226828644809809,0.982282354364393,561.0,0.7876787521229787,27,21
Low-field,63,0.6729325754420151,0.21978554476996984,0.6561978765659862,0.2231410636741915,0.01673469887602897,0.002321990582741386,0.031147407169316556,2.3210201523950955,0.02358870700752961,0.29242105291460285,0.4240908880752218,0.6722345146662603,702.0,0.036179184481249814,38,25
CHUV TE0,222,0.9092722426395159,0.11855936270675703,0.9085754228604807,0.1184735128541695,0.0006968197790352169,-0.0038926092040765256,0.00528624876214696,0.29922283447180975,0.7650512285502707,0.02008252172140588,0.061944584025840216,0.9506349633646485,9482.0,0.003444823994324505,136,85
CHUV all echoes,1518,0.885009773132542,0.15543059958708114,0.8843628833983315,0.15532773755815885,0.000646889734210607,-0.0010465080796158697,0.0023402875480370835,0.749317711999608,0.4537819106022457,0.019232250745026783,0.11469865628820214,0.9086915687236792,448156.0,3.141010421421544e-13,945,567
