Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-01_T2w,0.9000516533851624,0.8182671666145325,46,2,1,45,0.022222222222222223
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-04_T2w,0.9225396513938904,0.8562167882919312,42,1,0,42,0.0
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-07_T2w,0.6343849301338196,0.4645415246486664,48,7,9,32,0.28125
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-02_T2w,0.9047746658325195,0.8261082172393799,49,2,1,48,0.020833333333333332
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-05_T2w,0.859947919845581,0.7543057799339294,50,2,6,44,0.13636363636363635
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-08_T2w,0.8263511061668396,0.7040870785713196,55,4,6,43,0.13953488372093023
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-03_T2w,0.8994587063789368,0.8172875642776489,62,4,10,50,0.2
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-06_T2w,0.9111319184303284,0.8367698192596436,50,2,3,47,0.06382978723404255
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-09_T2w,0.7770392298698425,0.635375440120697,56,6,8,39,0.20512820512820512
AttUNet_checkpoint-70,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-01_T2w,0.9483044743537903,0.9016910791397095,67,6,5,56,0.08928571428571429
AttUNet_checkpoint-70,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-04_T2w,0.9372074007987976,0.8818347454071045,64,3,6,56,0.10714285714285714
AttUNet_checkpoint-70,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-07_T2w,0.8571967482566833,0.7500824928283691,55,5,3,49,0.061224489795918366
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-01_T2w,0.9354429244995117,0.8787155747413635,56,2,7,49,0.14285714285714285
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-04_T2w,0.9362175464630127,0.8800836205482483,67,3,12,50,0.24
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-07_T2w,0.9239194393157959,0.8585969805717468,56,4,8,46,0.17391304347826086
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-02_T2w,0.9129230380058289,0.8397961854934692,71,2,8,63,0.12698412698412698
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-05_T2w,0.9282524585723877,0.866111159324646,85,5,14,65,0.2153846153846154
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-08_T2w,0.8497886061668396,0.7388107776641846,80,12,8,59,0.13559322033898305
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-sag_run-03_T2w,0.9550139904022217,0.913901150226593,56,1,0,56,0.0
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-sag_run-06_T2w,0.9555221199989319,0.914832353591919,70,2,3,67,0.04477611940298507
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-sag_run-09_T2w,0.8880097270011902,0.7985768914222717,62,6,6,49,0.12244897959183673
AttUNet_checkpoint-70,highfield,highfield,sub-004,sub-004_ses-01_acq-ax_run-01_T2w,0.9502397179603577,0.9051968455314636,60,3,4,53,0.07547169811320754
AttUNet_checkpoint-70,highfield,highfield,sub-004,sub-004_ses-01_acq-ax_run-04_T2w,0.9498343467712402,0.9044615030288696,69,3,9,56,0.16071428571428573
