Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-70,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-01_T2w,0.8370497226715088,0.719763994216919,29,5,6,16,0.375
AttUNet_checkpoint-70,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-04_T2w,0.4945079982280731,0.3284693658351898,40,12,8,13,0.6153846153846154
AttUNet_checkpoint-70,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-07_T2w,0.10774562507867813,0.05694034695625305,8,2,2,6,0.3333333333333333
AttUNet_checkpoint-70,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-02_T2w,0.8423961997032166,0.7277068495750427,42,7,7,21,0.3333333333333333
AttUNet_checkpoint-70,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-05_T2w,0.7600014209747314,0.6129050850868225,47,4,12,21,0.5714285714285714
AttUNet_checkpoint-70,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-08_T2w,0.20460689067840576,0.11396217346191406,50,8,11,16,0.6875
AttUNet_checkpoint-70,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-03_T2w,0.8203110694885254,0.6953622102737427,30,4,9,17,0.5294117647058824
AttUNet_checkpoint-70,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-06_T2w,0.769598126411438,0.6254851818084717,35,5,10,19,0.5263157894736842
AttUNet_checkpoint-70,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-09_T2w,0.4300982654094696,0.27396509051322937,44,6,11,15,0.7333333333333333
AttUNet_checkpoint-70,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-01_T2w,0.8264206051826477,0.7041880488395691,25,3,7,16,0.4375
AttUNet_checkpoint-70,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-04_T2w,0.6816405057907104,0.5170369148254395,30,9,7,14,0.5
AttUNet_checkpoint-70,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-07_T2w,0.12675362825393677,0.0676652193069458,21,8,4,7,0.5714285714285714
AttUNet_checkpoint-70,lowfield,lowfield,sub-002,sub-002_ses-01_acq-cor_run-02_T2w,0.5995532274246216,0.4281156659126282,36,6,9,15,0.6
AttUNet_checkpoint-70,lowfield,lowfield,sub-002,sub-002_ses-01_acq-cor_run-05_T2w,0.5728201866149902,0.4013650715351105,43,5,12,18,0.6666666666666666
AttUNet_checkpoint-70,lowfield,lowfield,sub-002,sub-002_ses-01_acq-cor_run-08_T2w,0.20840755105018616,0.11632531136274338,53,9,14,18,0.7777777777777778
AttUNet_checkpoint-70,lowfield,lowfield,sub-002,sub-002_ses-01_acq-sag_run-03_T2w,0.6799277663230896,0.5150686502456665,54,6,15,19,0.7894736842105263
AttUNet_checkpoint-70,lowfield,lowfield,sub-002,sub-002_ses-01_acq-sag_run-06_T2w,0.3522334694862366,0.21376419067382812,37,8,9,14,0.6428571428571429
AttUNet_checkpoint-70,lowfield,lowfield,sub-002,sub-002_ses-01_acq-sag_run-09_T2w,0.1019330695271492,0.05370362102985382,21,3,7,11,0.6363636363636364
AttUNet_checkpoint-70,lowfield,lowfield,sub-003,sub-003_ses-01_acq-ax_run-01_T2w,0.836148738861084,0.718432605266571,13,3,1,11,0.09090909090909091
AttUNet_checkpoint-70,lowfield,lowfield,sub-003,sub-003_ses-01_acq-ax_run-04_T2w,0.7462673187255859,0.5952363610267639,11,2,2,9,0.2222222222222222
AttUNet_checkpoint-70,lowfield,lowfield,sub-003,sub-003_ses-01_acq-ax_run-07_T2w,0.7021315097808838,0.5409882068634033,17,3,6,9,0.6666666666666666
AttUNet_checkpoint-70,lowfield,lowfield,sub-003,sub-003_ses-01_acq-cor_run-02_T2w,0.900091290473938,0.8183327317237854,16,1,0,16,0.0
AttUNet_checkpoint-70,lowfield,lowfield,sub-003,sub-003_ses-01_acq-cor_run-05_T2w,0.8750160932540894,0.7778032422065735,17,3,1,15,0.06666666666666667
AttUNet_checkpoint-70,lowfield,lowfield,sub-003,sub-003_ses-01_acq-cor_run-08_T2w,0.38880935311317444,0.24131803214550018,12,3,2,9,0.2222222222222222
AttUNet_checkpoint-70,lowfield,lowfield,sub-003,sub-003_ses-01_acq-sag_run-03_T2w,0.863811194896698,0.7602708339691162,15,3,2,11,0.18181818181818182
AttUNet_checkpoint-70,lowfield,lowfield,sub-003,sub-003_ses-01_acq-sag_run-06_T2w,0.8050649762153625,0.6737311482429504,23,5,4,12,0.3333333333333333
AttUNet_checkpoint-70,lowfield,lowfield,sub-003,sub-003_ses-01_acq-sag_run-09_T2w,0.40421444177627563,0.2533012330532074,18,4,6,10,0.6
AttUNet_checkpoint-70,lowfield,lowfield,sub-004,sub-004_ses-01_acq-ax_run-01_T2w,0.859702467918396,0.7539281845092773,19,4,1,16,0.0625
AttUNet_checkpoint-70,lowfield,lowfield,sub-004,sub-004_ses-01_acq-ax_run-04_T2w,0.7298019528388977,0.5745576620101929,34,8,7,16,0.4375
AttUNet_checkpoint-70,lowfield,lowfield,sub-004,sub-004_ses-01_acq-ax_run-07_T2w,0.530393123626709,0.3609081506729126,45,7,10,13,0.7692307692307693
AttUNet_checkpoint-70,lowfield,lowfield,sub-004,sub-004_ses-01_acq-cor_run-02_T2w,0.8762085437774658,0.779689610004425,24,2,2,22,0.09090909090909091
AttUNet_checkpoint-70,lowfield,lowfield,sub-004,sub-004_ses-01_acq-cor_run-05_T2w,0.7901895046234131,0.6531514525413513,33,4,6,21,0.2857142857142857
AttUNet_checkpoint-70,lowfield,lowfield,sub-004,sub-004_ses-01_acq-cor_run-08_T2w,0.49861568212509155,0.332103967666626,40,8,10,12,0.8333333333333334
AttUNet_checkpoint-70,lowfield,lowfield,sub-004,sub-004_ses-01_acq-sag_run-03_T2w,0.5731084942817688,0.40164825320243835,59,8,12,17,0.7058823529411765
AttUNet_checkpoint-70,lowfield,lowfield,sub-004,sub-004_ses-01_acq-sag_run-06_T2w,0.5930898785591125,0.42155492305755615,61,11,12,15,0.8
AttUNet_checkpoint-70,lowfield,lowfield,sub-004,sub-004_ses-01_acq-sag_run-09_T2w,0.26309987902641296,0.1514766812324524,43,5,13,17,0.7647058823529411
AttUNet_checkpoint-70,lowfield,lowfield,sub-005,sub-005_ses-01_acq-ax_run-01_T2w,0.7457632422447205,0.5945952534675598,29,7,7,14,0.5
AttUNet_checkpoint-70,lowfield,lowfield,sub-005,sub-005_ses-01_acq-ax_run-04_T2w,0.5883233547210693,0.4167550504207611,33,8,6,12,0.5
AttUNet_checkpoint-70,lowfield,lowfield,sub-005,sub-005_ses-01_acq-ax_run-07_T2w,0.20092517137527466,0.11168249696493149,32,7,8,8,1.0
AttUNet_checkpoint-70,lowfield,lowfield,sub-005,sub-005_ses-01_acq-cor_run-02_T2w,0.8422080278396606,0.7274259924888611,28,3,6,19,0.3157894736842105
